threshold,precision,recall,f1
0.2573,0.6197,0.9953,0.7639
0.2577,0.6206,0.9953,0.7645
0.2579,0.6215,0.9953,0.7652
0.2586,0.6224,0.9953,0.7659
0.2589,0.6234,0.9953,0.7666
0.2612,0.6243,0.9953,0.7673
0.2634,0.6252,0.9953,0.768
0.2642,0.6261,0.9953,0.7687
0.2666,0.627,0.9953,0.7694
0.2667,0.6279,0.9953,0.7701
0.2689,0.6289,0.9953,0.7708
0.2702,0.6298,0.9953,0.7715
0.2703,0.6307,0.9953,0.7722
0.2721,0.6317,0.9953,0.7729
0.2723,0.6326,0.9953,0.7736
0.2728,0.6335,0.9953,0.7743
0.2731,0.6345,0.9953,0.775
0.2737,0.6354,0.9953,0.7757
0.2739,0.6364,0.9953,0.7764
0.2739,0.6373,0.9953,0.7771
0.2772,0.6383,0.9953,0.7778
0.2776,0.6392,0.9953,0.7785
0.2784,0.6402,0.9953,0.7792
0.2794,0.6411,0.9953,0.7799
0.2817,0.6421,0.9953,0.7806
0.2823,0.6431,0.9953,0.7813
0.2824,0.645,0.9953,0.7828
0.2869,0.646,0.9953,0.7835
0.288,0.647,0.9953,0.7842
0.2883,0.648,0.9953,0.7849
0.2885,0.6489,0.9953,0.7856
0.2885,0.6479,0.9907,0.7834
0.2889,0.6489,0.9907,0.7841
0.2896,0.6498,0.9907,0.7849
0.2903,0.6508,0.9907,0.7856
0.2904,0.6503,0.9883,0.7845
0.2908,0.6513,0.9883,0.7852
0.2916,0.6502,0.9837,0.7829
0.2919,0.6512,0.9837,0.7837
0.2925,0.6522,0.9837,0.7844
0.2927,0.6533,0.9837,0.7851
0.2928,0.6543,0.9837,0.7858
0.2937,0.6553,0.9837,0.7866
0.2954,0.6563,0.9837,0.7873
0.2959,0.6573,0.9837,0.788
0.2966,0.6583,0.9837,0.7888
0.2973,0.6594,0.9837,0.7895
0.2975,0.6604,0.9837,0.7903
0.2978,0.6614,0.9837,0.791
0.2979,0.6625,0.9837,0.7917
0.2985,0.6635,0.9837,0.7925
0.2988,0.6646,0.9837,0.7932
0.2994,0.6656,0.9837,0.794
0.3005,0.6667,0.9837,0.7947
0.3012,0.6677,0.9837,0.7955
0.3013,0.6688,0.9837,0.7962
0.3045,0.6698,0.9837,0.797
0.3051,0.6709,0.9837,0.7977
0.3061,0.672,0.9837,0.7985
0.3069,0.673,0.9837,0.7992
0.3075,0.6741,0.9837,0.8
0.3098,0.6752,0.9837,0.8008
0.3102,0.6763,0.9837,0.8015
0.3124,0.6774,0.9837,0.8023
0.3124,0.6785,0.9837,0.803
0.3133,0.6795,0.9837,0.8038
0.3155,0.6806,0.9837,0.8046
0.316,0.6817,0.9837,0.8053
0.3171,0.6828,0.9837,0.8061
0.3176,0.684,0.9837,0.8069
0.3182,0.6851,0.9837,0.8077
0.3197,0.6862,0.9837,0.8084
0.3211,0.6873,0.9837,0.8092
0.322,0.6884,0.9837,0.81
0.3234,0.6895,0.9837,0.8108
0.3241,0.6907,0.9837,0.8115
0.3253,0.6918,0.9837,0.8123
0.3256,0.6929,0.9837,0.8131
0.3261,0.6941,0.9837,0.8139
0.3275,0.6952,0.9837,0.8147
0.3277,0.6964,0.9837,0.8155
0.328,0.6975,0.9837,0.8162
0.3287,0.6987,0.9837,0.817
0.3289,0.6998,0.9837,0.8178
0.329,0.701,0.9837,0.8186
0.3296,0.7022,0.9837,0.8194
0.3296,0.7033,0.9837,0.8202
0.33,0.7028,0.9814,0.8191
0.3304,0.704,0.9814,0.8199
0.3307,0.703,0.9767,0.8176
0.3311,0.7042,0.9767,0.8184
0.334,0.7054,0.9767,0.8192
0.3343,0.7066,0.9767,0.82
0.3351,0.7078,0.9767,0.8208
0.3356,0.709,0.9767,0.8216
0.3363,0.7102,0.9767,0.8224
0.3376,0.7097,0.9744,0.8212
0.338,0.7109,0.9744,0.822
0.3384,0.7121,0.9744,0.8228
0.3402,0.7116,0.972,0.8217
0.3409,0.7128,0.972,0.8225
0.3431,0.7118,0.9674,0.8202
0.3444,0.7131,0.9674,0.821
0.3448,0.7126,0.965,0.8198
0.3451,0.7121,0.9627,0.8186
0.3454,0.7133,0.9627,0.8194
0.3457,0.7145,0.9627,0.8203
0.3459,0.7158,0.9627,0.8211
0.3469,0.7153,0.9604,0.8199
0.3473,0.7143,0.9557,0.8175
0.3474,0.7155,0.9557,0.8184
