Id;Title;Category;Diagram;Interaction;Priority;State;Changed By;Description;Justification;Last Modified
33;Potential Excessive Resource Consumption for ThingBoards Edge or IPFS Edge Node;Denial Of Service;Modèle Réseaux;CID;High;Not Started;;Does ThingBoards Edge or IPFS Edge Node take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.;;Generated
34;Spoofing the UPF External Entity;Spoofing;Modèle Réseaux;From UPF to MEC via unnamed;High;Not Started;;UPF may be spoofed by an attacker and this may lead to unauthorized access to MEC. Consider using a standard authentication mechanism to identify the external entity.;;Generated
35;Elevation Using Impersonation;Elevation Of Privilege;Modèle Réseaux;From UPF to MEC via unnamed;High;Not Started;;MEC may be able to impersonate the context of UPF in order to gain additional privilege.;;Generated
36;Spoofing of Source Data Store IPFS Cluster;Spoofing;Modèle Réseaux;From IPFS Cluster to IPFS Edge Node via unnamed;High;Not Started;;IPFS Cluster may be spoofed by an attacker and this may lead to incorrect data delivered to IPFS Edge Node. Consider using a standard authentication mechanism to identify the source data store.;;Generated
37;Spoofing of Destination Data Store IPFS Edge Node;Spoofing;Modèle Réseaux;From IPFS Cluster to IPFS Edge Node via unnamed;High;Not Started;;IPFS Edge Node may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS Edge Node. Consider using a standard authentication mechanism to identify the destination data store.;;Generated
38;Data Store Denies IPFS Edge Node Potentially Writing Data;Repudiation;Modèle Réseaux;From IPFS Cluster to IPFS Edge Node via unnamed;High;Not Started;;IPFS Edge Node claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.;;Generated
39;Data Flow  Is Potentially Interrupted;Denial Of Service;Modèle Réseaux;From IPFS Cluster to IPFS Edge Node via unnamed;High;Not Started;;An external agent interrupts data flowing across a trust boundary in either direction.;;Generated
40;Data Store Inaccessible;Denial Of Service;Modèle Réseaux;From IPFS Cluster to IPFS Edge Node via unnamed;High;Not Started;;An external agent prevents access to a data store on the other side of the trust boundary.;;Generated
41;Elevation Using Impersonation;Elevation Of Privilege;Modèle Réseaux;From MEC to ThingBoards Edge via unnamed;High;Not Started;;ThingBoards Edge may be able to impersonate the context of MEC in order to gain additional privilege.;;Generated
42;Spoofing of Destination Data Store IPFS Edge Node;Spoofing;Modèle Réseaux;From MEC to IPFS Edge Node via unnamed;High;Not Started;;IPFS Edge Node may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS Edge Node. Consider using a standard authentication mechanism to identify the destination data store.;;Generated
43;Potential Excessive Resource Consumption for MEC or IPFS Edge Node;Denial Of Service;Modèle Réseaux;From MEC to IPFS Edge Node via unnamed;High;Not Started;;Does MEC or IPFS Edge Node take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.;;Generated
44;External Entity V2V Potentially Denies Receiving Data;Repudiation;Modèle Réseaux;V2V;High;Not Started;;V2V claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.;;Generated
45;Data Flow V2V Is Potentially Interrupted;Denial Of Service;Modèle Réseaux;V2V;High;Not Started;;An external agent interrupts data flowing across a trust boundary in either direction.;;Generated
46;External Entity V2V Potentially Denies Receiving Data;Repudiation;Modèle Réseaux;V2V;High;Not Started;;V2V claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.;;Generated
47;Data Flow V2V Is Potentially Interrupted;Denial Of Service;Modèle Réseaux;V2V;High;Not Started;;An external agent interrupts data flowing across a trust boundary in either direction.;;Generated
65;Launcher Process Memory Tampered;Tampering;Modèle Réseaux;From Launcher to IPFS Client via unnamed;High;Not Started;;If Launcher is given access to memory, such as shared memory or pointers, or is given the ability to control what IPFS Client executes (for example, passing back a function pointer.), then Launcher can tamper with IPFS Client. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.;;Generated
64;Elevation by Changing the Execution Flow in IPFS Client;Elevation Of Privilege;Modèle Réseaux;HTTPS;High;Not Started;;An attacker may pass data into IPFS Client in order to change the flow of program execution within IPFS Client to the attacker's choosing.;;Generated
63;IPFS Client May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;Modèle Réseaux;HTTPS;High;Not Started;;IPFS Edge Node may be able to remotely execute code for IPFS Client.;;Generated
62;Data Store Inaccessible;Denial Of Service;Modèle Réseaux;HTTPS;High;Not Started;;An external agent prevents access to a data store on the other side of the trust boundary.;;Generated
61;Data Flow HTTPS Is Potentially Interrupted;Denial Of Service;Modèle Réseaux;HTTPS;High;Not Started;;An external agent interrupts data flowing across a trust boundary in either direction.;;Generated
60;Potential Process Crash or Stop for IPFS Client;Denial Of Service;Modèle Réseaux;HTTPS;High;Not Started;;IPFS Client crashes, halts, stops or runs slowly;;
59;Weak Access Control for a Resource;Information Disclosure;Modèle Réseaux;HTTPS;High;Not Started;;Improper data protection of IPFS Edge Node can allow an attacker to read information not intended for disclosure. Review authorization settings.;;Generated
58;Potential Data Repudiation by IPFS Client;Repudiation;Modèle Réseaux;HTTPS;High;Not Started;;IPFS Client claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.;;Generated
57;Spoofing of Source Data Store IPFS Edge Node;Spoofing;Modèle Réseaux;HTTPS;High;Not Started;;IPFS Edge Node may be spoofed by an attacker and this may lead to incorrect data delivered to IPFS Client. Consider using a standard authentication mechanism to identify the source data store.;;Generated
66;Elevation Using Impersonation;Elevation Of Privilege;Modèle Réseaux;From Launcher to IPFS Client via unnamed;High;Not Started;;IPFS Client may be able to impersonate the context of Launcher in order to gain additional privilege.;;Generated
67;Authenticated Data Flow Compromised;Tampering;Modèle Réseaux;V2V;High;Not Started;;An attacker can read or modify data transmitted over an authenticated dataflow.;;Generated
68;Authenticated Data Flow Compromised;Tampering;Modèle Réseaux;V2V;High;Not Started;;An attacker can read or modify data transmitted over an authenticated dataflow.;;Generated
69;Spoofing the V2V External Entity;Spoofing;Modèle Réseaux;From V2V to IPFS Client via unnamed;High;Not Started;;V2V may be spoofed by an attacker and this may lead to unauthorized access to IPFS Client. Consider using a standard authentication mechanism to identify the external entity.;;Generated
70;Elevation Using Impersonation;Elevation Of Privilege;Modèle Réseaux;From V2V to IPFS Client via unnamed;High;Not Started;;IPFS Client may be able to impersonate the context of V2V in order to gain additional privilege.;;Generated
71;Spoofing the IPFS Client Process;Spoofing;Modèle Réseaux;BitSwap;High;Not Started;;IPFS Client may be spoofed by an attacker and this may lead to unauthorized access to IPFS Edge Node. Consider using a standard authentication mechanism to identify the source process.;;Generated
72;Spoofing of Destination Data Store IPFS Edge Node;Spoofing;Modèle Réseaux;BitSwap;High;Not Started;;IPFS Edge Node may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS Edge Node. Consider using a standard authentication mechanism to identify the destination data store.;;Generated
73;The IPFS Edge Node Data Store Could Be Corrupted;Tampering;Modèle Réseaux;BitSwap;High;Not Started;;Data flowing across BitSwap may be tampered with by an attacker. This may lead to corruption of IPFS Edge Node. Ensure the integrity of the data flow to the data store.;;Generated
74;Data Store Denies IPFS Edge Node Potentially Writing Data;Repudiation;Modèle Réseaux;BitSwap;High;Not Started;;IPFS Edge Node claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.;;Generated
75;Data Flow Sniffing;Information Disclosure;Modèle Réseaux;BitSwap;High;Not Started;;Data flowing across BitSwap may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.;;Generated
76;Potential Excessive Resource Consumption for IPFS Client or IPFS Edge Node;Denial Of Service;Modèle Réseaux;BitSwap;High;Not Started;;Does IPFS Client or IPFS Edge Node take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.;;Generated
77;Data Flow BitSwap Is Potentially Interrupted;Denial Of Service;Modèle Réseaux;BitSwap;High;Not Started;;An external agent interrupts data flowing across a trust boundary in either direction.;;Generated
78;Data Store Inaccessible;Denial Of Service;Modèle Réseaux;BitSwap;High;Not Started;;An external agent prevents access to a data store on the other side of the trust boundary.;;Generated
79;Spoofing the ThingBoards Edge Process;Spoofing;Modèle Réseaux;CID;High;Not Started;;ThingBoards Edge may be spoofed by an attacker and this may lead to unauthorized access to Launcher. Consider using a standard authentication mechanism to identify the source process.;;Generated
80;Spoofing the Launcher Process;Spoofing;Modèle Réseaux;CID;High;Not Started;;Launcher may be spoofed by an attacker and this may lead to information disclosure by ThingBoards Edge. Consider using a standard authentication mechanism to identify the destination process.;;Generated
81;Potential Lack of Input Validation for Launcher;Tampering;Modèle Réseaux;CID;High;Not Started;;Data flowing across CID may be tampered with by an attacker. This may lead to a denial of service attack against Launcher or an elevation of privilege attack against Launcher or an information disclosure by Launcher. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.;;Generated
82;Potential Data Repudiation by Launcher;Repudiation;Modèle Réseaux;CID;High;Not Started;;Launcher claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.;;Generated
83;Data Flow Sniffing;Information Disclosure;Modèle Réseaux;CID;High;Not Started;;Data flowing across CID may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.;;Generated
84;Potential Process Crash or Stop for Launcher;Denial Of Service;Modèle Réseaux;CID;High;Not Started;;Launcher crashes, halts, stops or runs slowly;;
85;Data Flow CID Is Potentially Interrupted;Denial Of Service;Modèle Réseaux;CID;High;Not Started;;An external agent interrupts data flowing across a trust boundary in either direction.;;Generated
86;Elevation Using Impersonation;Elevation Of Privilege;Modèle Réseaux;CID;High;Not Started;;Launcher may be able to impersonate the context of ThingBoards Edge in order to gain additional privilege.;;Generated
87;Launcher May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;Modèle Réseaux;CID;High;Not Started;;ThingBoards Edge may be able to remotely execute code for Launcher.;;Generated
88;Elevation by Changing the Execution Flow in Launcher;Elevation Of Privilege;Modèle Réseaux;CID;High;Not Started;;An attacker may pass data into Launcher in order to change the flow of program execution within Launcher to the attacker's choosing.;;Generated
89;Cross Site Request Forgery;Elevation Of Privilege;Modèle Réseaux;CID;High;Not Started;;Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.;;Generated
